tq_obs_w_30sec_1,tq_obs_w_30sec_2,tq_obs_w_30sec_3,tq_obs_w_30sec_4,tq_obs_w_30sec_5,tq_obs_w_30sec_6,tq_obs_w_30sec_7,tq_obs_w_30sec_8,tq_obs_w_30sec_9,tq_obs_w_30sec_10
0.09828405857086182,0.08095124006271362,0.09672840118408203,0.1292017912864685,0.15633249044418338,0.17426193237304688,0.19956756591796876,0.2216130757331848,0.24809723854064944,0.21683488607406615
0.10332962512969972,0.09815427824451115,0.09939157247543334,0.13051489264853633,0.15299851894378663,0.17442443132400512,0.19722849607467652,0.22232034444808957,0.24604848861694337,0.21462506532669068
0.09442326545715332,0.08736398696899414,0.09933732271194458,0.1295323371887207,0.1525697422027588,0.17223750591278075,0.20201935291290285,0.2261377501487732,0.24598955392837524,0.21651997566223147
0.1000829029083252,0.08357021808624268,0.09865989923477173,0.13566216468811035,0.15191912174224853,0.18191429377253135,0.20269479513168337,0.22395162582397463,0.24642448902130126,0.21400858163833616
0.10432752847671509,0.10949251336489371,0.09664867162704469,0.1306999313221295,0.15155554294586182,0.17638464927673342,0.20242552995681762,0.2249980354309082,0.24929540634155276,0.2174554395675659
0.10485599517822267,0.08708358287811278,0.09507372617721557,0.13170627355575562,0.15510566949844362,0.1734175443649292,0.202136025428772,0.22089884996414186,0.25039599180221556,0.2187588095664978
0.10392688274383544,0.08141830921173096,0.09423338413238526,0.13230685234069825,0.15703036308288576,0.1752248024940491,0.19917125940322875,0.22212480306625365,0.24617472648620609,0.21420004844665527
0.09941115856170656,0.08395517349243163,0.09523837327957153,0.13300724029541017,0.15231308460235596,0.17787821531295778,0.2012655782699585,0.22181919813156126,0.24578288793563846,0.21423251152038575
0.10674063682556154,0.08203465938568116,0.09484670877456665,0.13522374153137207,0.15507755669827583,0.17773915767669676,0.19718884229660033,0.2256646394729614,0.2478685975074768,0.21393632888793945
0.09211666584014892,0.08249517917633058,0.09845556974411011,0.12975983368052846,0.1533877992630005,0.17564770221710205,0.19912675857543946,0.22435230016708374,0.24897791624069215,0.216618857383728
0.10121620416641236,0.08432514429092407,0.09554692268371581,0.129984332087965,0.15275147438049316,0.17802846670150757,0.20187995195388794,0.22352236032485964,0.2470424723625183,0.21439538955688475
0.09244932889938354,0.07741637945175171,0.09901104688644409,0.12932286024093628,0.15170142650604249,0.17677929162979128,0.1971574831008911,0.22409298181533815,0.24758867263793946,0.21389477014541625
0.09895231246948243,0.0824982738494873,0.09513763666152955,0.1318706488609314,0.15262561559677124,0.17519518852233887,0.1975194215774536,0.22493998289108275,0.24554174661636352,0.21924741268157957
0.10077311277389527,0.08184701681137085,0.0991308307647705,0.1281034564971924,0.1586652421951294,0.1787917470932007,0.19724454641342162,0.22548952817916873,0.24891644954681397,0.21464741468429566
0.09712999582290649,0.08652267932891847,0.09909229755401612,0.13548160314559937,0.15072333574295044,0.17757938146591187,0.20213383674621582,0.2270482635498047,0.24948206663131714,0.21448621034622192
0.09687829732894898,0.0860343599319458,0.09891033887863158,0.13466116189956667,0.15347911357879637,0.17373924255371093,0.2014560604095459,0.22304674863815308,0.24579129695892332,0.2161498260498047
0.10408845424652101,0.08028453588485718,0.10003929138183594,0.13413607835769653,0.15376773357391357,0.17436538696289064,0.19819710969924925,0.2233388185501099,0.24933629512786865,0.21841967582702634
0.09919659137725831,0.07762443780899048,0.09602363348007201,0.13265097618103028,0.15632890415822265,0.17377835750579834,0.1967867660522461,0.2243901586532593,0.24868988275527953,0.2138818359375
0.10311489343643188,0.10492687222419128,0.09841060400009155,0.13105023622512815,0.15138874769210817,0.17304824352264403,0.19899302005767822,0.22702147006988527,0.24797941684722902,0.22083357334136966
0.11692405612432775,0.08024831533432007,0.10530209541320801,0.13160556261520895,0.1539577078819275,0.1783493733406067,0.1917738389968872,0.22456616640090943,0.23856221675872802,0.21541982173919674
